Client ID,Portfolio ID,Stock Name,Ticker,ISIN,Sector,Shares Held,Purchase Price,Current Price,Acquisition Date,Purchase Value,Current Value,Profit/Loss (₹),Profit/Loss (%),Holding Period (days),Holding Period (years)
CL005,P03,Maruti Suzuki India Ltd,MARUTI,INE585B01010,Automobile,500,1021.05,925.27,11/04/2023,510523.24,462636.0,-47887.25,-9.38,701,1.92
CL002,P03,Hindustan Unilever Ltd,HINDUNILVR,INE030A01027,FMCG,75,2251.67,2534.28,01/10/2023,168875.38,190071.27,21195.89,12.55,999,2.74
CL005,P04,Infosys Ltd,INFY,INE009A01021,IT Services,75,2642.9,2890.43,12/24/2023,198217.52,216782.34,18564.82,9.37,651,1.78
CL002,P02,State Bank of India,SBIN,INE062A01020,Banking/Finance,50,1211.65,1321.24,05/01/2023,60582.59,66062.08,5479.49,9.04,888,2.43
CL001,P04,Hindustan Unilever Ltd,HINDUNILVR,INE030A01027,FMCG,500,587.95,554.68,09/14/2024,293975.77,277338.58,-16637.19,-5.66,386,1.06
CL004,P02,ICICI Bank Ltd,ICICIBANK,INE090A01021,Banking/Finance,50,2929.05,2938.29,08/01/2023,146452.5,146914.32,461.82,0.32,796,2.18
CL005,P03,Asian Paints Ltd,ASIANPAINT,INE021A01026,Chemicals/Paints,30,843.27,818.95,05/03/2023,25298.21,24568.53,-729.69,-2.88,886,2.43
CL001,P01,Asian Paints Ltd,ASIANPAINT,INE021A01026,Chemicals/Paints,20,2449.76,2647.45,04/07/2024,48995.19,52949.08,3953.89,8.07,546,1.5
CL005,P03,Sun Pharmaceutical,SUNPHARMA,INE044A01036,Pharma,50,2435.39,2529.34,10/17/2023,121769.33,126466.76,4697.43,3.86,719,1.97
CL005,P01,Wipro Ltd,WIPRO,INE075A01022,IT Services,500,2169.98,2461.43,05/25/2022,1084992.08,1230715.22,145723.14,13.43,1229,3.37
CL002,P05,Maruti Suzuki India Ltd,MARUTI,INE585B01010,Automobile,30,2416.33,2212.56,10/01/2021,72489.91,66376.82,-6113.09,-8.43,1465,4.01
CL005,P04,Reliance Industries Ltd,RELIANCE,INE002A01018,Energy/Telecom,100,1319.67,1401.29,07/04/2024,131967.14,140129.36,8162.22,6.19,458,1.25
CL001,P04,Hindustan Unilever Ltd,HINDUNILVR,INE030A01027,FMCG,30,2522.28,2778.73,08/29/2023,75668.54,83362.0,7693.46,10.17,768,2.1
CL005,P04,Tata Motors Ltd,TATAMOTORS,INE155A01022,Automobile,30,1319.39,1374.48,09/26/2024,39581.72,41234.3,1652.58,4.18,374,1.02
CL002,P01,State Bank of India,SBIN,INE062A01020,Banking/Finance,20,664.99,703.96,12/07/2023,13299.9,14079.29,779.39,5.86,668,1.83
CL005,P04,State Bank of India,SBIN,INE062A01020,Banking/Finance,30,1541.7,1411.27,06/24/2024,46250.94,42338.22,-3912.72,-8.46,468,1.28
CL004,P04,Sun Pharmaceutical,SUNPHARMA,INE044A01036,Pharma,30,2968.33,3234.73,05/16/2024,89049.84,97041.77,7991.93,8.97,507,1.39
CL001,P03,State Bank of India,SBIN,INE062A01020,Banking/Finance,100,956.38,1082.22,08/15/2023,95637.88,108222.03,12584.15,13.16,782,2.14
CL003,P01,Wipro Ltd,WIPRO,INE075A01022,IT Services,200,420.43,410.35,12/28/2021,84086.68,82070.34,-2016.34,-2.4,1377,3.77
CL002,P03,Infosys Ltd,INFY,INE009A01021,IT Services,30,2325.28,2557.67,10/26/2024,69758.52,76729.98,6971.46,9.99,344,0.94
CL004,P05,ICICI Bank Ltd,ICICIBANK,INE090A01021,Banking/Finance,100,1199.21,1282.55,11/07/2021,119921.09,128255.02,8333.93,6.95,1428,3.91
CL004,P05,Maruti Suzuki India Ltd,MARUTI,INE585B01010,Automobile,30,1455.73,1541.49,12/11/2023,43671.85,46244.56,2572.71,5.89,664,1.82
CL003,P05,Sun Pharmaceutical,SUNPHARMA,INE044A01036,Pharma,50,2216.36,2408.12,02/14/2022,110818.11,120405.96,9587.86,8.65,1329,3.64
